City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Lhokseumawe,ID,80.69,light rain,5.18,97.15,OYO 3278 Penginapan Alfajri
362,Tuatapere,NZ,73.0,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
363,Sigiriya,LK,75.6,broken clouds,7.95,80.74,Hotel Sigiriya
365,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
366,Poum,NC,78.51,clear sky,-20.23,164.02,Gîte kajeon
368,Baturaja,ID,77.45,overcast clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
370,Sur,OM,77.79,clear sky,22.57,59.53,Sur Plaza Hotel
372,Qui Nhon,VN,75.63,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
374,Lodwar,KE,86.88,broken clouds,3.12,35.6,Turkwel Lodge
375,Koratla,IN,71.1,broken clouds,18.82,78.72,Srinivasa Lodge
376,Fuerte Olimpo,PY,72.91,broken clouds,-21.04,-57.87,Hotel Fuerte Olimpo
377,Mayumba,GA,76.59,light rain,-3.43,10.66,LIKWALE LODGE
380,Oistins,BB,84.2,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
381,Santo Antonio Do Ica,BR,74.64,overcast clouds,-3.1,-67.94,Hotel Fogaça
385,Aitape,PG,86.54,scattered clouds,-3.14,142.35,
387,Taoudenni,ML,85.05,overcast clouds,22.68,-3.98,
388,Atambua,ID,87.1,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
392,Banda Aceh,ID,83.05,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
394,Sibolga,ID,79.95,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
395,Sunland Park,US,71.6,clear sky,31.8,-106.58,SpringHill Suites by Marriott El Paso
397,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
399,Okitipupa,NG,74.32,overcast clouds,6.5,4.78,Coastal Hotel & Suites
402,Pascagoula,US,78.8,clear sky,30.37,-88.56,Regency Inn
406,Tulum,MX,82.4,broken clouds,20.22,-87.47,Kin Ha
410,Pozo Colorado,PY,77.05,clear sky,-23.49,-58.8,Hospedaje la Amistad
418,Coffs Harbour,AU,73.4,overcast clouds,-30.3,153.13,Aquajet Motel
419,Zuenoula,CI,71.22,clear sky,7.43,-6.04,Hotel Prestige Zla
422,Robertsport,LR,79.32,moderate rain,6.75,-11.37,Kwepunha Retreat
423,Mount Pleasant,US,73.0,clear sky,32.79,-79.86,Best Western Patriots Point
424,Adre,TD,74.32,scattered clouds,13.47,22.2,
426,Bosaso,SO,78.03,overcast clouds,11.28,49.18,Red Sea Hotel
433,Kassala,SD,82.89,clear sky,15.45,36.4,Amassi Hotel Gash
434,Isangel,VU,80.6,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
435,Axim,GH,76.91,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
436,Bambanglipuro,ID,83.03,scattered clouds,-7.95,110.28,Puri Brata
437,Norsup,VU,82.4,heavy intensity rain,-16.07,167.38,Nabelchel Bungalows
441,Gladstone,AU,78.8,light rain,-23.85,151.25,Highpoint International
443,Bac Lieu,VN,78.24,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
444,Boituva,BR,73.4,clear sky,-23.28,-47.67,Hotel Rafeli Ltda.
445,Bahia Honda,CU,78.89,broken clouds,22.9,-83.16,Casa Gualberto - Deysi
447,Bubaque,GW,83.95,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
448,Loandjili,CG,78.8,broken clouds,-4.76,11.86,Résidence ARCHANGE
449,Marabba,SD,82.4,few clouds,12.35,32.18,
451,Alofi,NU,77.0,light intensity drizzle,-19.06,-169.92,Taloa Heights
452,Bull Savanna,JM,74.59,overcast clouds,17.89,-77.59,Big Red's
454,Vanimo,PG,83.28,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
455,Havelock,US,71.01,overcast clouds,34.88,-76.9,Sherwood Motel
456,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
463,Port Blair,IN,81.82,light rain,11.67,92.75,Fortune Resort Bay Island
465,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
467,Santa Rosa,PH,84.0,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
468,Fare,PF,79.95,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
473,Manokwari,ID,84.42,scattered clouds,-0.87,134.08,Swiss Belhotel Manokwari
477,Remanso,BR,82.45,clear sky,-9.62,-42.08,Hotel Mangueira
480,Hurghada,EG,77.0,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
481,Capitao Poco,BR,75.02,clear sky,-1.75,-47.06,Hotel New Tokyo
483,Isla Mujeres,MX,82.4,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
485,Diffa,NE,80.53,few clouds,13.32,12.61,ProDAF/Diffa
490,Affery,CI,72.32,scattered clouds,6.32,-3.96,Hotel Emile Koucou
491,Boca Do Acre,BR,78.21,overcast clouds,-8.75,-67.4,Hotel Linhares
492,Bhatkal,IN,75.36,overcast clouds,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
493,Cockburn Town,TC,83.05,overcast clouds,21.46,-71.14,Osprey Beach Hotel
497,Muisne,EC,74.62,broken clouds,0.6,-80.03,Quinta Samay
507,Campos Belos,BR,73.78,overcast clouds,-13.04,-46.77,Pousada Carnaúba
510,Avera,US,70.0,scattered clouds,33.19,-82.53,
512,Dabakala,CI,72.9,broken clouds,8.37,-4.43,Hôtel Campement
515,Liku,ID,86.11,scattered clouds,-0.73,119.89,Agoes Liverpool
523,Santa Ana,US,70.0,overcast clouds,33.75,-117.87,Best Western Plus Orange County Airport North
525,Naze,JP,73.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
527,Tamandare,BR,76.69,clear sky,-8.76,-35.1,Pousada 100 Passos
529,Port Macquarie,AU,70.0,overcast clouds,-31.43,152.92,Rydges Port Macquarie
530,Batangafo,CF,72.25,overcast clouds,7.3,18.28,OCHA Office
532,Livermore,US,73.99,clear sky,37.68,-121.77,Hilton Garden Inn Livermore
533,Booue,GA,71.15,overcast clouds,-0.09,11.94,
536,Camopi,GF,77.0,clear sky,3.17,-52.32,
544,Teacapan,MX,83.25,clear sky,22.55,-105.75,Hotel los Mangos
546,Arlit,NE,79.29,clear sky,18.74,7.39,Hôtel Telwa Bungalow
548,Biak,ID,83.97,few clouds,-0.91,122.88,Kost Ariz
549,Mana,GF,80.76,scattered clouds,5.66,-53.78,LE SAMANA
552,Sinnamary,GF,80.37,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
553,Siddipet,IN,71.2,clear sky,18.1,78.85,Roads And Buildings (R&B) Guest House
554,Dubti,ET,84.18,few clouds,11.74,41.09,
555,Tombouctou,ML,88.41,few clouds,20.0,-3.0,
556,Ambulu,ID,82.63,clear sky,-8.35,113.61,Hotel Ambulu Jember
560,Soyo,AO,76.71,light rain,-6.13,12.37,Hotel Mpampa
563,Bukama,CD,72.03,scattered clouds,-9.2,25.85,
564,Emerald,AU,71.6,light rain,-23.53,148.17,The Irish Village
566,Eyl,SO,78.84,overcast clouds,7.98,49.82,Amiin Hotel
568,Bhinmal,IN,72.99,clear sky,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
575,Lazaro Cardenas,MX,81.14,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
580,Maragogi,BR,76.37,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
584,Fonte Boa,BR,74.89,moderate rain,-2.5,-66.27,
586,Nokaneng,BW,74.32,broken clouds,-19.67,22.27,
587,Tra Vinh,VN,79.7,overcast clouds,9.93,106.35,Hồng Ân
588,Gunjur,GM,80.6,broken clouds,13.2,-16.73,Kuba Lodge
589,San Ignacio,BZ,82.4,clear sky,17.16,-89.07,Rainforest Haven Inn
590,Sinjai,ID,88.56,clear sky,-5.12,120.25,Wisma Sandika
592,Russell,US,75.2,clear sky,32.35,-85.2,Macs
593,Lufilufi,WS,87.8,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
594,Tessalit,ML,81.79,clear sky,20.2,1.01,
595,Hervey Bay,AU,81.0,light rain,-25.3,152.85,Shelly Bay Resort
605,High Rock,BS,77.0,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
606,Veraval,IN,80.47,clear sky,20.9,70.37,Lords Inn Somnath
607,Road Town,VG,84.0,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
609,Buchanan,LR,77.2,moderate rain,5.88,-10.05,Kamaneahn Hotel Inc
610,Kribi,CM,75.58,light rain,2.95,9.92,Les Vagues bleues
611,Harper,LR,76.87,broken clouds,4.38,-7.72,Screensaver
612,Batticaloa,LK,77.63,clear sky,7.71,81.69,Grand Star Guest House
614,Iaciara,BR,71.69,scattered clouds,-14.1,-46.63,Hotel Matinha
627,Dingle,PH,75.87,overcast clouds,11.0,122.67,Camp Pasica
628,Hambantota,LK,75.2,few clouds,6.12,81.12,Bungalow 63
631,Campo Grande,BR,73.4,broken clouds,-20.44,-54.65,OYO Hotel Iguaçu
633,Manta,EC,73.4,overcast clouds,-0.95,-80.73,Balandra Hotel
634,Itubera,BR,71.19,broken clouds,-13.73,-39.15,Pousada Baixo Sul.
635,Paranaiba,BR,76.46,overcast clouds,-19.68,-51.19,Villa Rica Park Hotel GMR
636,Mineiros,BR,71.42,moderate rain,-17.57,-52.55,Pilões Palace Hotel
639,Simpang Empat,MY,80.6,few clouds,4.95,100.63,"Fifiey Homestay 1, Selinsing RM160"
641,Ati,TD,83.7,clear sky,13.22,18.34,
647,Dorado,PR,82.4,few clouds,18.46,-66.27,Embassy Suites by Hilton Dorado del Mar Beach Resort
649,Flinders,AU,75.99,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
653,Sola,VU,87.8,broken clouds,-13.88,167.55,Ulkel Guest House
657,Kulhudhuffushi,MV,81.59,scattered clouds,6.62,73.07,Haajy Guest House 1
658,Tulangan,ID,85.95,clear sky,-7.49,112.66,Rana Kelana Kepatihan
661,Papayal,PE,71.44,overcast clouds,-4.08,-80.74,
663,Christchurch,NZ,73.4,clear sky,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
665,Gaoua,BF,75.22,scattered clouds,10.3,-3.25,
668,Jati,PK,75.4,clear sky,24.35,68.27,
669,Ahuimanu,US,82.4,light rain,21.44,-157.84,Paradise Bay Resort
672,Pahrump,US,75.2,clear sky,36.21,-115.98,Best Western Pahrump Oasis
